Tax Year,Place of Residence,County,Number of All Returns,NY AGI of All Returns (in thousands) *,Average NY AGI of Nontaxable Returns,County Sort Order
2019,New York City - Kings,Kings,1222709,79364281298,,2
2019,New York City - Manhattan,Manhattan,908860,2.03E+11,,3
2019,New York City - Queens,Queens,1144592,59946962886,,4
2019,New York City - Richmond,Richmond,221462,14782271459,,5
2019,All New York City,All New York City,4150726,3.82E+11,,6
2020,New York City - Bronx,Bronx,684474,26879847167,,1
2020,New York City - Kings,Kings,1246858,83289060223,,2
2020,New York City - Manhattan,Manhattan,871627,2.11E+11,,3
2020,New York City - Queens,Queens,1185283,61785052373,,4
2020,New York City - Richmond,Richmond,229901,15149840848,,5
2020,All New York City,All New York City,4218143,3.98E+11,,6
2021,New York City - Bronx,Bronx,647882,27031977697,,1
2021,New York City - Kings,Kings,1190713,92426563568,,2
2021,New York City - Manhattan,Manhattan,837940,2.61E+11,,3
2021,New York City - Queens,Queens,1142242,65711676572,,4
2021,New York City - Richmond,Richmond,226117,16183830983,,5
2021,All New York City,All New York City,4044894,4.62E+11,,6
